lambda,phi,x,y,z,r_mean,r_std,id
-107.03378091357892,39.21,-1446.9746679458071,-4722.879895176033,4030.048983085087,0.08215173332660874,0.09073119214004055,77
-112.40797605636122,-35.06,-1989.1967698141154,-4824.246836076666,-3662.0163401554296,0.5203994992177267,0.0861359403718335,78
-108.97344070004158,8.81,-2048.2482074745285,-5957.514422486687,976.3842411881158,0.8631020810417065,0.26178264475378804,79
-102.96409513109928,-24.42,-1302.2262627889422,-5656.732070762465,-2635.567119257285,0.7097290693903577,0.12054939015353727,80
-102.80687115891402,-23.27,-1298.164850146006,-5710.723847078055,-2518.536512393543,0.8676407569295946,0.20151676922819742,81
-122.36005355404956,28.3,-3004.313988721179,-4741.344811436163,3022.312332675366,0.47512443241287694,0.21078038298510657,82
-100.94678689171795,-47.26,-821.597526845946,-4247.811848008193,-4682.06119223167,0.11130792182259697,0.005293518215673809,83
-108.74278468624647,-52.16,-1256.618508548637,-3703.4108943472447,-5034.509178818044,0.4241887350612884,0.28533058829800556,84
-108.14199164775486,-54.83,-1143.3702496644748,-3489.4832837450117,-5211.222110469513,0.8972320380791458,0.09383032204570149,85
-106.7485667025611,-10.5,-1806.3361154497898,-6002.341905317307,-1161.75147501244,0.5833687982917342,0.235338896566051,86
-115.67521735577083,-15.85,-2657.077065998503,-5527.115123399657,-1741.138960000489,0.5486583280357081,0.2145729861050167,87
-111.14925972936969,42.02,-1708.7642790794612,-4417.055480778165,4267.361071935398,0.505008875405803,0.08660032944156558,88
-94.5689100608515,-45.66,-354.9228921778804,-4441.422886799863,-4559.431705949599,0.9852615494758556,0.18637589314787095,89
-117.801834151081,48.67,-1963.6152409350652,-3724.0387343084035,4787.105147261567,0.10251317498141244,0.2781217346653523,90
-119.34132383077498,3.07,-3119.3388364784632,-5549.214635037429,341.41932798774457,0.9605658199999999,0.20425726655527687,91
-108.91809890894729,-52.3,-1263.9521750895517,-3687.9003874714235,-5044.050022667749,0.02450004545878126,0.12060470717462912,92
-104.03762718439216,-12.15,-1511.676441992182,-6046.085198662193,-1341.7574688608236,0.9288456979435421,0.22832695886364587,93
-120.81828319818726,48.82,-2150.4353260255725,-3604.772981583704,4798.110530180127,0.636756933820486,0.12511145704218565,94
-106.6926618336604,-34.92,-1501.4481360722386,-5006.917004954734,-3649.254800665517,0.3634003525669156,0.0630789612475805,95
-117.75100015827374,9.42,-2928.3625639295683,-5565.665958098052,1043.3983597094348,0.855624557190768,0.2902910293086045,96
-117.99762009833694,8.38,-2960.695703972637,-5568.816780819222,929.0778278186419,0.6475478425360497,0.26210733367495176,97
-92.61142384245801,-46.78,-198.90663247021223,-4361.076041926457,-4645.651397607705,0.8763417848545623,0.26511827714669506,98
-103.64493856852651,-54.87,-865.3889942701508,-3564.853310437982,-5213.7843994219265,0.27668871467576595,0.17256563883276396,99
-107.36416837093797,-24.93,-1725.304419411762,-5517.542821287036,-2687.130602635858,0.47923147885038364,0.12394952692185228,100
-108.21944006694662,-28.87,-1745.4710729419135,-5302.815875908764,-3078.0025210731997,0.6623257069402596,0.0006190278595933574,101
-111.41010710809913,56.6,-1281.043820877109,-3267.1419496645235,5322.155128304216,0.4579806707334656,0.14970454658579388,102
-105.28739092384001,-47.37,-1138.366137742671,-4164.766594991453,-4690.35891437789,0.4412346665709057,0.16817370082918767,103
-114.35363679246633,-8.94,-2596.90585418126,-5737.18285276597,-990.6754758482886,0.13597349307375328,0.27650342316480153,104
-98.4448952556461,-42.28,-692.6778357721776,-4665.505661701842,-4288.808615041948,0.3332364384758524,0.09269963278686395,105
-113.62309182807252,31.72,-2172.9957371806327,-4968.331681775933,3351.7748769952213,0.1383457318300283,0.11280793239200244,106
-118.2353071366456,20.39,-2827.0003340468684,-5264.540963967379,2221.103903469698,0.7452855361401864,0.019054864690864336,107
-110.88923294716447,-35.62,-1847.7855763890934,-4841.601965970753,-3712.8430975192805,0.8982751819468879,0.05848136576766372,108
-110.51769885185432,20.12,-2098.0595222293437,-5606.2351289307235,2192.92018102025,0.8660737328831813,0.12553572191611445,109
-93.70370609100283,-54.48,-239.2533707378491,-3696.057178137259,-5188.69387809019,0.8643267388516931,0.1263556138182819,110
-110.59801306937469,-43.51,-1626.5882456425786,-4327.9236007644795,-4389.067439113144,0.6771292067334945,0.121113708824648,111
-109.41097888974721,-55.97,-1185.6699961226805,-3364.834347584146,-5283.2472470642915,0.8068450899997851,0.19845147340433605,112
-99.3240896174206,-36.67,-828.4525861115833,-5045.755150686058,-3807.1835090904324,0.7134275220112023,0.06051954392988459,113
-107.65897936974888,35.78,-1568.8804203057389,-4928.130804892288,3727.300094794216,0.7526590689930369,0.22458539138278008,114
-118.66679556051056,26.41,-2739.0137201117636,-5009.801259121874,2835.5458354857183,0.07754611261912203,0.09408234999233356,115
-96.5916608891984,-27.95,-646.4429347486116,-5594.174076780635,-2987.9680270694207,0.5323541919017591,0.1892927570605476,116
-105.53146322439714,22.58,-1576.1651805803451,-5671.372481947058,2447.8281178505567,0.3071748701789029,0.11022098381074535,117
-95.78061741804424,-24.78,-582.9672747434677,-5758.581487609058,-2671.986790226409,0.5403904368034503,0.14966421585204742,118
-112.75718301786961,-37.73,-1950.3827075196398,-4649.500281537377,-3901.125405084052,0.16660607175650666,0.13218319808081036,119
-117.00834068317812,-4.83,-2884.735814410852,-5659.575925555675,-536.7724135292154,0.579746800996011,0.1722093249788581,120
-114.44811544998336,-15.55,-2541.8409675393304,-5590.972342829226,-1709.0049027013918,0.5047630635703787,0.17348400731012717,121
-108.48582768775985,-20.1,-1898.21161959745,-5677.823450525747,-2190.8305529833024,0.1409723512562786,0.2769251961571746,122
-118.41130335879761,48.27,-2018.969271233972,-3732.2454904157576,4757.597259235401,0.5035289707489542,0.14809003576145804,123
-117.31904079604192,27.16,-2603.1637406229693,-5039.427534638184,2910.040147942352,0.8008602813819055,0.26939127858141076,124
-115.9297535086396,50.87,-1759.197419150753,-3618.141128986516,4945.190007592177,0.16265117333026502,0.14601887387219126,125
-111.17613010209547,35.14,-1883.1759605484212,-4861.123259893575,3669.2988367989597,0.6657709307009667,0.17949160490699795,126
-107.79149708229669,-47.29,-1321.2416382442914,-4117.285052959433,-4684.325920134762,0.48975755505755636,0.1312140493062864,127
-112.02759962635955,53.58,-1419.5148832581058,-3508.5557278704187,5129.877113599936,0.5424836426459815,0.1631147503838318,128
-110.17406599032928,-52.89,-1326.499648971428,-3610.362439612381,-5083.926311023284,0.5527401470050596,0.024196874357718768,129
-122.48985824781307,29.66,-2975.6675132938294,-4672.687375967837,3154.682319473473,0.4224559109816489,0.20417066858580218,130
-105.16893290175453,-13.05,-1625.0381319104918,-5993.977355888993,-1439.483076290536,0.027534473409698723,0.22213112698649667,131
-116.49310442780641,23.44,-2609.143891382369,-5234.710645890629,2535.90173466193,0.9365433437456965,0.2560666235588822,132
-100.55353913934809,-8.26,-1155.495849179879,-6202.148236078998,-915.8665842961196,0.0732984630807092,0.15670408693988422,133
-105.64244290033261,-49.78,-1109.9430708533694,-3964.030051122061,-4867.7630522926875,0.3682165932240511,0.23688191360280947,134
-98.93815954905206,-44.53,-706.0918488545582,-4489.444155189317,-4470.676736067778,0.7717334339875016,0.10444619347707762,135
-106.2080800093464,-39.88,-1365.516264761404,-4697.664979976999,-4087.533983536988,0.662124829862011,0.0411303383222217,136
-110.63500157755696,30.71,-1931.5744349740748,-5129.354014818533,3255.667764502328,0.3805205906632443,0.16645502938102946,137
-119.93906363694497,59.77,-1601.8611578228986,-2781.332065681762,5508.072055762225,0.35008638406599824,0.177028101676004,138
-108.6598393482122,42.08,-1513.8666175338142,-4482.87062409301,4272.318320532855,0.7258159361520701,0.019313631295888155,139
-106.8047290901796,-12.45,-1799.740468178425,-5959.250336146144,-1374.3706480942344,0.6819876278735576,0.008944396343682682,140
-109.31430540599534,43.75,-1523.127113439977,-4345.889538244867,4408.395730611967,0.14407642974071966,0.0338625312744657,141
-113.0671483737818,48.53,-1654.1037049172123,-3884.161542047529,4776.803852855811,0.7891961032869566,0.24591315358085483,142
-127.85564735018295,50.79,-2473.1370304485436,-3181.9629216396133,4939.567814488921,0.5824213262216053,0.035001122363000445,143
-107.17950622073008,-8.85,-1860.5428535140886,-6018.062129624736,-980.7820829390365,0.9712082381591581,0.11582902555558111,144
-117.92865648343589,25.74,-2689.5942511134112,-5073.621742412173,2768.5863142225044,0.9605849435122287,0.12561945464750646,145
-107.32632855308499,-31.78,-1613.922704127165,-5173.335131869043,-3357.451729879727,0.02112382646980704,0.09351965607749804,146
-99.47564419506901,-10.63,-1031.49494209282,-6180.1081012170935,-1175.9706806327185,0.6504008193142954,0.1899380996223758,147
-112.37502834940129,-18.63,-2299.5957496729625,-5586.146647757524,-2036.528914067615,0.586889515651519,0.046994528382149015,148
-105.36815089062031,8.78,-1669.705469396345,-6075.01548662938,973.0855474628783,0.7299798789350928,0.21216050066756628,149
-114.86884154850324,-16.51,-2570.4228301584676,-5545.3965383268815,-1811.6646231884013,0.9911806370233845,0.21813307431049705,150
-105.70239880126394,-20.8,-1612.8872582714644,-5737.107117523517,-2263.806885351874,0.12290309569683266,0.18382142005501392,151
-104.46532130875603,-20.67,-1489.9298539254924,-5775.549915137538,-2250.2793622429076,0.7025094748867065,0.287705177982878,152
-107.73992597397306,16.9,-1858.5552278426062,-5809.642765554515,1853.2264841888593,0.11767787307303024,0.050019984608298707,153
-114.59223263579744,9.03,-2620.123685388272,-5724.896829088037,1000.566424364284,0.41516928282625387,0.11309930177365841,154
-112.40296897548644,48.96,-1595.2598342801339,-3869.8212872114436,4808.352552192662,0.18182870176850818,0.09701739123163201,155
-109.17852968954766,-2.05,-2092.9283649773724,-6017.330950552296,-228.04405407410363,0.879686549277844,0.15245770565444539,156
-107.53050007913687,4.71,-1913.7512177431504,-6058.3961319052305,523.4668905502524,0.5878894526797519,0.2152901298421504,157
-104.11955977477965,19.45,-1466.407366310879,-5829.588828988015,2122.773779979237,0.7469139573176377,0.02700783353421202,158
-107.55930067332447,-48.38,-1277.4253620972304,-4036.9020738014647,-4765.735104976796,0.3860243790004725,0.25529084095659593,159
-96.63061190436554,-37.03,-587.6496994406576,-5055.250677850686,-3839.2360457306463,0.34973313165911823,0.17292788019907449,160
-110.27483068460003,31.9,-1875.4532078260197,-5076.86169444888,3368.794383854963,0.7910939915294002,0.17497751794916627,161
-128.9631028554299,56.22,-2228.8738708927854,-2756.057089149966,5298.76359059334,0.45049548627898894,0.2023650616258677,162
-111.49635848004324,-19.7,-2199.339528809595,-5584.389476901077,-2148.9822724471483,0.7884544379895723,0.17268111397859123,163
-108.41605056238983,39.79,-1547.5150278091849,-4647.654414468016,4079.8444434047615,0.31907682539633864,0.2896328094577913,164
-117.67323122169466,51.23,-1853.996694173446,-3535.355600150764,4970.370412602723,0.8271643767941025,0.03723788750280009,165
-116.68069538537335,3.35,-2857.5981454226676,-5686.473714326564,372.524543553821,0.9594290093606481,0.2828136412394141,166
-113.49060954580077,12.14,-2484.2403565643726,-5715.923332313513,1340.669724403029,0.7794985605047198,0.17162913382800124,167
-121.97119310594545,57.23,-1827.0592426205828,-2927.179826393227,5360.419553347594,0.6576165258981252,0.13284827200593477,168
-124.9893636823549,37.2,-2911.779073196345,-4160.094941373572,3854.3193572476403,0.024480389750860643,0.10924270248947372,169
-116.15049456545817,-7.54,-2785.3627667334035,-5672.972670803838,-836.5167864472409,0.5834055211977855,0.20299397957785364,170
-111.68425421051056,-33.72,-1959.2180078984218,-4927.238531813046,-3538.9843526276522,0.4937876877025219,0.25184190906648163,171
-103.89814694931815,-36.25,-1234.871226422156,-4990.575254481572,-3769.5990083178376,0.9374855416411209,0.2712822002999414,172
-113.68012679388825,27.79,-2265.0826285563426,-5164.8689415147655,2972.230560166629,0.0810039739480991,0.001383849579396501,173
-103.71784847628471,-46.46,-1041.4008451382535,-4266.221799961767,-4621.196904837134,0.30769930410197477,0.12015482662750962,174
-117.06276106951606,58.6,-1511.1413798974536,-2957.767994455743,5441.386332630213,0.7595007132510664,0.15046570395533393,175
-128.60691605453184,58.34,-2087.875633667028,-2614.7892318999484,5426.258159273256,0.03854955007040439,0.15970191924453403,176
-107.75870136869283,-19.63,-1831.4248359544902,-5718.378435042939,-2141.647997193971,0.3577800923874275,0.13956080146784683,177
-108.93585682852985,8.37,-2046.7127590192722,-5965.773251196442,927.9770457165167,0.9633584299872885,0.28506557417381734,178
-121.20503229070347,26.4,-2958.447362290567,-4884.009076136411,2834.5492673039125,0.3344217198041931,0.09260494351330427,179
-101.10580957434725,-24.07,-1121.1879208501837,-5711.67699295795,-2600.059340525611,0.2434235373311442,0.2431594651973718,180
-110.9346566365292,-28.33,-2004.9914975185357,-5241.03912238192,-3025.250900758569,0.48508840548628385,0.2833038458935929,181
-104.98189714975054,7.27,-1634.777006937585,-6108.790591260751,806.725882634439,0.3025058206753086,0.10937839609932873,182
-118.4653126503243,32.64,-2558.643694857139,-4719.246561947631,3438.412326977857,0.3642319960352228,0.1620293727807626,183
-120.73783824547647,39.63,-2509.498914383094,-4220.12677755737,4066.149306168346,0.3982182488871825,0.2379602817416962,184
-111.17133721669715,-21.6,-2140.701592419491,-5527.2578648107055,-2346.794023364822,0.989747700777391,0.018106373420146916,185
-100.3521444272992,-59.99,-572.9591385652377,-3136.561417016656,-5520.3555413412505,0.37784483136039615,0.05655997392702485,186
-109.20236494336437,49.07,-1373.6727411947013,-3944.126596214851,4816.379718536454,0.2182583012744539,0.008108992236491096,187
-101.51829737029769,7.76,-1261.3081217543668,-6189.409464319444,860.7771517584323,0.627484474219046,0.12097815629213934,188
-104.61595605402462,-25.09,-1456.871486400417,-5586.637256892797,-2703.2637000505083,0.7479636109145866,0.17523919463250776,189
-111.02159473541494,-47.97,-1531.0833606824651,-3984.1196236411265,-4735.314093823024,0.36593931195779417,0.10466564309608495,190
-122.91943613600532,53.08,-2081.154457059333,-3214.5834127172698,5096.653275292038,0.4404343176954687,0.04349042951080716,191
-98.23441171754533,-10.24,-898.505672635264,-6208.780440447364,-1133.2951948016444,0.13371043642350833,0.08983336523500829,192
-119.55177429716449,24.51,-2860.8841984565775,-5045.951300542774,2644.681847703451,0.8801644035444542,0.12250045480268956,193
-123.01920538913187,30.11,-3005.1158125652983,-4624.078487621427,3198.0935091686642,0.024508338789296813,0.04964485226291606,194
-114.27283745410777,-7.47,-2598.407997818632,-5762.117645872057,-828.7949758547232,0.9448718210544211,0.07936829539026762,195
-109.74452827026442,-23.34,-1977.4132432981799,-5509.206290431262,-2525.6895919137796,0.13585636178837235,0.07423227611208992,196
-99.38341155927158,-19.66,-978.7919428660363,-5923.044834399421,-2144.7916500851225,0.7721178004143389,0.1780071729271359,197
-106.66128760394977,-4.87,-1821.198683315686,-6085.306505507504,-541.2070675049035,0.6109518069703417,0.16795087933532954,198
-110.97068908550641,7.49,-2262.083679637223,-5901.952152372506,831.0013341893405,0.6382876612699709,0.1832873976511354,199
-100.46264923392648,-26.64,-1034.7689276648093,-5603.497288959406,-2858.4430025739557,0.8870622410991083,0.06914155541474727,200
-105.28963301461833,18.94,-1590.0628060030845,-5816.4253791877745,2069.1836751013534,0.6246475104288786,0.22496036896869373,201
-110.65943219470314,8.05,-2227.0163174967506,-5906.271537744536,892.7372760403888,0.6243818401399225,0.2187423305129681,202
-107.77828477056379,16.04,-1870.7275492037206,-5834.230140612764,1761.4658960694644,0.4776415274882988,0.23999839104846826,203
-118.26113325202894,33.07,-2529.520068445486,-4705.472614853308,3478.603267720697,0.22239581860563262,0.25956807285688605,204
-118.55922428873275,17.69,-2903.5656877061333,-5334.545738826865,1937.1507575663131,0.7245028300772014,0.032516551427454486,205
-107.58851551743722,39.01,-1496.8746050276484,-4722.030396352475,4012.7821212653216,0.4669219454342888,0.23566823201852438,206
-115.64964325578745,59.83,-1386.8481190093466,-2888.1507754060463,5511.430158617788,0.360523578098189,0.018308771831052572,207
-110.3222042812157,-35.83,-1795.0426534852775,-4846.857377249055,-3731.811950885916,0.707388087244778,0.2661638225242401,208
-103.93513702987693,5.19,-1528.9543017283609,-6162.010233991799,576.6746217813658,0.8679443889953075,0.08570000270665289,209
-110.2840179603193,58.04,-1169.8376870931158,-3165.1952928205174,5408.663748483859,0.6353077615748425,0.06676324077290237,210
-110.91779650497256,19.44,-2146.2978301932435,-5615.364223398063,2121.72459633404,0.23756567996008204,0.24863069552596756,211
-127.86578123012639,58.05,-2070.710842653811,-2663.2250550137833,5409.252620507085,0.8806042391581802,0.2853280481026302,212
-112.91429989231665,31.5,-2116.3643952098114,-5006.64988524532,3330.928350064174,0.28506452957140316,0.15107065689911567,213
-117.00090644645768,55.13,-1654.7068383895735,-3247.418015825187,5230.377281753275,0.3793629732428079,0.24798084590252747,214
-117.94533863598038,-0.31,-2987.46614043754,-5631.561183943638,-34.49190105750684,0.8863158574353203,0.0985060587885866,215
-110.84078201113421,-21.83,-2105.409280967042,-5530.66723320458,-2370.568858981962,0.3928733148920762,0.19834311414628142,216
-102.0258048468568,-52.71,-804.7168369385806,-3777.52854341597,-5071.81761462547,0.9882494227083236,0.26975491257463846,217
-100.55039139866123,-19.11,-1102.9380962573794,-5921.850241541999,-2087.065469163131,0.08889725489374756,0.13179441356175137,218
-99.24973302630136,-30.91,-879.1711446151146,-5398.471823617408,-3274.7801556875684,0.2635832361994007,0.17547178023685864,219
-99.80893920162148,-17.19,-1037.5510506176818,-6001.19744814189,-1884.0759023397673,0.3738119295408351,0.07569581186219483,220
-106.26015986559955,-25.69,-1608.5532448898616,-5515.055754703557,-2763.5740411404713,0.13365389809035666,0.22847621648358005,221
-98.38403370480626,-15.8,-894.4026425358095,-6068.5841742105395,-1735.7865748836614,0.5441105264615437,0.2206600724375752,222
-117.37254764986696,55.99,-1639.4528613558205,-3166.537678479134,5284.492260015543,0.12425949520990054,0.29544976646607635,223
-104.29679713288708,-6.37,-1564.5540482569843,-6139.42393819712,-707.2972056885576,0.20941578390814153,0.17031605463688587,224
-121.88491101049392,10.86,-3307.061013521907,-5316.135847528575,1201.1128604194919,0.00015748008337557184,0.026823976166324537,225
-105.33433139165143,10.8,-1656.0133994862406,-6039.145706896227,1194.5558804839948,0.2424205111842921,0.2821595714854672,226
-109.80986612005655,-7.26,-2143.1662405693087,-5949.658510215647,-805.6221677080042,0.3931319729480477,0.17987350237462432,227
-119.63779650497256,19.44,-2972.81095568628,-5225.065048309234,2121.72459633404,0.07281620426909452,0.16862064181398165,228
